date,open,low,high,close,volume,change
02/03/2021,1186.61,1196.16,1196.16,1181.99,533302200,+0.44 (+0.04%)
01/03/2021,1186.17,1176.93,1186.82,1174.45,593011800,+17.70 (+1.51%)
26/02/2021,1168.47,1148.88,1169.28,1148.88,528150000,+3.04 (+0.26%)
25/02/2021,1165.43,1169.97,1169.97,1155.74,493051100,+3.42 (+0.29%)
24/02/2021,1162.01,1184.32,1185.58,1154.36,572631700,-15.63 (-1.33%)
23/02/2021,1177.64,1174.57,1184.32,1168.32,571704900,+2.60 (+0.22%)
22/02/2021,1175.04,1173.57,1182.67,1169.12,571176900,+1.54 (+0.13%)
19/02/2021,1173.5,1160.65,1178.18,1157.6,547575400,-0.88 (-0.07%)
18/02/2021,1174.38,1157.1,1174.38,1148.66,585040700,+18.60 (+1.61%)
17/02/2021,1155.78,1127.46,1155.78,1127.46,510971700,+40.85 (+3.66%)
09/02/2021,1114.93,1090.88,1114.93,1078.98,490182000,+31.75 (+2.93%)
08/02/2021,1083.18,1127.06,1127.06,1075.1,635387600,-43.73 (-3.88%)
05/02/2021,1126.91,1114.79,1126.91,1112.19,458710000,+14.72 (+1.32%)
04/02/2021,1112.19,1112.97,1117.88,1098.85,471356200,+0.90 (+0.08%)
03/02/2021,1111.29,1084.87,1113.24,1082.95,635966100,+35.76 (+3.32%)
02/02/2021,1075.53,1036.95,1075.53,1029.36,554905500,+40.02 (+3.86%)
